Ly Lx dh h 
5 16 0.0025 3.200 
5 24 0.0250 2.000 
5 24 0.0250 2.100 
5 24 0.0250 2.200 
5 24 0.0250 2.300 
5 24 0.0250 2.400 
5 24 0.0250 2.500 
5 24 0.0250 2.600 
5 24 0.0250 2.700 
5 24 0.0250 2.765 
5 24 0.0250 2.775 
5 24 0.0250 2.785 
5 24 0.0250 2.795 
5 24 0.0250 2.800 
5 24 0.0250 2.805 
5 24 0.0250 2.815 
5 24 0.0250 2.825 
5 24 0.0250 2.835 
5 24 0.0250 2.845 
5 24 0.0250 2.855 
5 24 0.0250 2.865 
5 24 0.0250 2.875 
5 24 0.0250 2.885 
5 24 0.0250 2.895 
5 24 0.0250 2.900 
5 24 0.0250 2.905 
5 24 0.0250 2.915 
5 24 0.0250 3.000 
5 24 0.0250 3.100 
5 24 0.0250 3.200 
5 24 0.0025 2.000 
5 24 0.0025 2.100 
5 24 0.0025 2.200 
5 24 0.0025 2.300 
5 24 0.0025 2.400 
5 24 0.0025 2.500 
5 24 0.0025 2.600 
5 24 0.0025 2.700 
5 24 0.0025 2.765 
5 24 0.0025 2.775 
5 24 0.0025 2.785 
5 24 0.0025 2.795 
5 24 0.0025 2.800 
5 24 0.0025 2.805 
5 24 0.0025 2.815 
5 24 0.0025 2.825 
5 24 0.0025 2.835 
5 24 0.0025 2.845 
5 24 0.0025 2.855 
5 24 0.0025 2.865 
5 24 0.0025 2.875 
5 24 0.0025 2.885 
5 24 0.0025 2.895 
5 24 0.0025 2.900 
5 24 0.0025 2.905 
5 24 0.0025 2.915 
5 24 0.0025 3.000 
5 24 0.0025 3.100 
5 24 0.0025 3.200 
5 32 0.0250 2.000 
5 32 0.0250 2.100 
5 32 0.0250 2.200 
5 32 0.0250 2.300 
5 32 0.0250 2.400 
5 32 0.0250 2.500 
5 32 0.0250 2.600 
5 32 0.0250 2.700 
5 32 0.0250 2.765 
5 32 0.0250 2.775 
5 32 0.0250 2.785 
5 32 0.0250 2.795 
5 32 0.0250 2.800 
5 32 0.0250 2.805 
5 32 0.0250 2.815 
5 32 0.0250 2.825 
5 32 0.0250 2.835 
5 32 0.0250 2.845 
5 32 0.0250 2.855 
5 32 0.0250 2.865 
5 32 0.0250 2.875 
5 32 0.0250 2.885 
5 32 0.0250 2.895 
5 32 0.0250 2.900 
5 32 0.0250 2.905 
5 32 0.0250 2.915 
5 32 0.0250 3.000 
5 32 0.0250 3.100 
5 32 0.0250 3.200 
5 32 0.0025 2.000 
5 32 0.0025 2.100 
5 32 0.0025 2.200 
5 32 0.0025 2.300 
5 32 0.0025 2.400 
5 32 0.0025 2.500 
5 32 0.0025 2.600 
5 32 0.0025 2.700 
5 32 0.0025 2.765 
5 32 0.0025 2.775 
5 32 0.0025 2.785 
5 32 0.0025 2.795 
5 32 0.0025 2.800 
5 32 0.0025 2.805 
5 32 0.0025 2.815 
5 32 0.0025 2.825 
5 32 0.0025 2.835 
5 32 0.0025 2.845 
5 32 0.0025 2.855 
5 32 0.0025 2.865 
5 32 0.0025 2.875 
5 32 0.0025 2.885 
5 32 0.0025 2.895 
5 32 0.0025 2.900 
5 32 0.0025 2.905 
5 32 0.0025 2.915 
5 32 0.0025 3.000 
5 32 0.0025 3.100 
5 32 0.0025 3.200 
5 40 0.0250 2.000 
5 40 0.0250 2.100 
5 40 0.0250 2.200 
5 40 0.0250 2.300 
5 40 0.0250 2.400 
5 40 0.0250 2.500 
5 40 0.0250 2.600 
5 40 0.0250 2.700 
5 40 0.0250 2.765 
5 40 0.0250 2.775 
5 40 0.0250 2.785 
5 40 0.0250 2.795 
5 40 0.0250 2.800 
5 40 0.0250 2.805 
5 40 0.0250 2.815 
5 40 0.0250 2.825 
5 40 0.0250 2.835 
5 40 0.0250 2.845 
5 40 0.0250 2.855 
5 40 0.0250 2.865 
5 40 0.0250 2.875 
5 40 0.0250 2.885 
5 40 0.0250 2.895 
5 40 0.0250 2.900 
5 40 0.0250 2.905 
5 40 0.0250 2.915 
5 40 0.0250 3.000 
5 40 0.0250 3.100 
5 40 0.0250 3.200 
5 40 0.0025 2.000 
5 40 0.0025 2.100 
5 40 0.0025 2.200 
5 40 0.0025 2.300 
5 40 0.0025 2.400 
