method L v h quenchtau 
1 32 3.2 3.0 0.40 
1 32 3.4 0.5 0.05 
1 32 3.4 0.5 0.10 
1 32 3.4 0.5 0.20 
1 32 3.4 0.5 0.40 
1 32 3.4 1.0 0.05 
1 32 3.4 1.0 0.10 
1 32 3.4 1.0 0.20 
1 32 3.4 1.0 0.40 
1 32 3.4 2.0 0.05 
1 32 3.4 2.0 0.10 
1 32 3.4 2.0 0.20 
1 32 3.4 2.0 0.40 
1 32 3.4 3.0 0.05 
1 32 3.4 3.0 0.10 
1 32 3.4 3.0 0.20 
1 32 3.4 3.0 0.40 
1 32 3.6 0.5 0.05 
1 32 3.6 0.5 0.10 
1 32 3.6 0.5 0.20 
1 32 3.6 0.5 0.40 
1 32 3.6 1.0 0.05 
1 32 3.6 1.0 0.10 
1 32 3.6 1.0 0.20 
1 32 3.6 1.0 0.40 
1 32 3.6 2.0 0.05 
1 32 3.6 2.0 0.10 
1 32 3.6 2.0 0.20 
1 32 3.6 2.0 0.40 
1 32 3.6 3.0 0.05 
1 32 3.6 3.0 0.10 
1 32 3.6 3.0 0.20 
1 32 3.6 3.0 0.40 
1 32 3.8 0.5 0.05 
1 32 3.8 0.5 0.10 
1 32 3.8 0.5 0.20 
1 32 3.8 0.5 0.40 
1 32 3.8 1.0 0.05 
1 32 3.8 1.0 0.10 
1 32 3.8 1.0 0.20 
1 32 3.8 1.0 0.40 
1 32 3.8 2.0 0.05 
1 32 3.8 2.0 0.10 
1 32 3.8 2.0 0.20 
1 32 3.8 2.0 0.40 
1 32 3.8 3.0 0.05 
1 32 3.8 3.0 0.10 
1 32 3.8 3.0 0.20 
1 32 3.8 3.0 0.40 
1 32 4.0 0.5 0.05 
1 32 4.0 0.5 0.10 
1 32 4.0 0.5 0.20 
1 32 4.0 0.5 0.40 
1 32 4.0 1.0 0.05 
1 32 4.0 1.0 0.10 
1 32 4.0 1.0 0.20 
1 32 4.0 1.0 0.40 
1 32 4.0 2.0 0.05 
1 32 4.0 2.0 0.10 
1 32 4.0 2.0 0.20 
1 32 4.0 2.0 0.40 
1 32 4.0 3.0 0.05 
1 32 4.0 3.0 0.10 
1 32 4.0 3.0 0.20 
1 32 4.0 3.0 0.40 
1 32 4.0 0.5 0.05 
1 32 4.0 0.5 0.10 
1 32 4.0 0.5 0.20 
1 32 4.0 0.5 0.40 
1 32 4.0 1.0 0.05 
1 32 4.0 1.0 0.10 
1 32 4.0 1.0 0.20 
1 32 4.0 1.0 0.40 
1 32 4.0 2.0 0.05 
1 32 4.0 2.0 0.10 
1 32 4.0 2.0 0.20 
1 32 4.0 2.0 0.40 
1 32 4.0 3.0 0.05 
1 32 4.0 3.0 0.10 
1 32 4.0 3.0 0.20 
1 32 4.0 3.0 0.40 
1 32 5.0 0.5 0.05 
1 32 5.0 0.5 0.10 
1 32 5.0 0.5 0.20 
1 32 5.0 0.5 0.40 
1 32 5.0 1.0 0.05 
1 32 5.0 1.0 0.10 
1 32 5.0 1.0 0.20 
1 32 5.0 1.0 0.40 
1 32 5.0 2.0 0.05 
1 32 5.0 2.0 0.10 
1 32 5.0 2.0 0.20 
1 32 5.0 2.0 0.40 
1 32 5.0 3.0 0.05 
1 32 5.0 3.0 0.10 
1 32 5.0 3.0 0.20 
1 32 5.0 3.0 0.40 
1 32 6.0 0.5 0.05 
1 32 6.0 0.5 0.10 
1 32 6.0 0.5 0.20 
1 32 6.0 0.5 0.40 
1 32 6.0 1.0 0.05 
1 32 6.0 1.0 0.10 
1 32 6.0 1.0 0.20 
1 32 6.0 1.0 0.40 
1 32 6.0 2.0 0.05 
1 32 6.0 2.0 0.10 
1 32 6.0 2.0 0.20 
1 32 6.0 2.0 0.40 
1 32 6.0 3.0 0.05 
1 32 6.0 3.0 0.10 
1 32 6.0 3.0 0.20 
1 32 6.0 3.0 0.40 
1 32 7.0 0.5 0.05 
1 32 7.0 0.5 0.10 
1 32 7.0 0.5 0.20 
1 32 7.0 0.5 0.40 
1 32 7.0 1.0 0.05 
1 32 7.0 1.0 0.10 
1 32 7.0 1.0 0.20 
1 32 7.0 1.0 0.40 
1 32 7.0 2.0 0.05 
1 32 7.0 2.0 0.10 
1 32 7.0 2.0 0.20 
1 32 7.0 2.0 0.40 
1 32 7.0 3.0 0.05 
1 32 7.0 3.0 0.10 
1 32 7.0 3.0 0.20 
1 32 7.0 3.0 0.40 
1 32 8.0 0.5 0.05 
1 32 8.0 0.5 0.10 
1 32 8.0 0.5 0.20 
1 32 8.0 0.5 0.40 
1 32 8.0 1.0 0.05 
1 32 8.0 1.0 0.10 
1 32 8.0 1.0 0.20 
1 32 8.0 1.0 0.40 
1 32 8.0 2.0 0.05 
1 32 8.0 2.0 0.10 
1 32 8.0 2.0 0.20 
1 32 8.0 2.0 0.40 
1 32 8.0 3.0 0.05 
1 32 8.0 3.0 0.10 
1 32 8.0 3.0 0.20 
1 32 8.0 3.0 0.40 
1 48 1.6 0.5 0.05 
1 48 1.6 0.5 0.10 
1 48 1.6 0.5 0.20 
1 48 1.6 0.5 0.40 
1 48 1.6 1.0 0.05 
1 48 1.6 1.0 0.10 
1 48 1.6 1.0 0.20 
1 48 1.6 1.0 0.40 
1 48 1.6 2.0 0.05 
1 48 1.6 2.0 0.10 
1 48 1.6 2.0 0.20 
1 48 1.6 2.0 0.40 
1 48 1.6 3.0 0.05 
1 48 1.6 3.0 0.10 
1 48 1.6 3.0 0.20 
1 48 1.6 3.0 0.40 
1 48 1.7 0.5 0.05 
1 48 1.7 0.5 0.10 
1 48 1.7 0.5 0.20 
1 48 1.7 0.5 0.40 
1 48 1.7 1.0 0.05 
1 48 1.7 1.0 0.10 
1 48 1.7 1.0 0.20 
1 48 1.7 1.0 0.40 
1 48 1.7 2.0 0.05 
1 48 1.7 2.0 0.10 
1 48 1.7 2.0 0.20 
1 48 1.7 2.0 0.40 
1 48 1.7 3.0 0.05 
1 48 1.7 3.0 0.10 
1 48 1.7 3.0 0.20 
1 48 1.7 3.0 0.40 
1 48 1.8 0.5 0.05 
1 48 1.8 0.5 0.10 
1 48 1.8 0.5 0.20 
1 48 1.8 0.5 0.40 
1 48 1.8 1.0 0.05 
1 48 1.8 1.0 0.10 
1 48 1.8 1.0 0.20 
1 48 1.8 1.0 0.40 
1 48 1.8 2.0 0.05 
1 48 1.8 2.0 0.10 
1 48 1.8 2.0 0.20 
1 48 1.8 2.0 0.40 
1 48 1.8 3.0 0.05 
1 48 1.8 3.0 0.10 
1 48 1.8 3.0 0.20 
1 48 1.8 3.0 0.40 
1 48 1.9 0.5 0.05 
1 48 1.9 0.5 0.10 
1 48 1.9 0.5 0.20 
1 48 1.9 0.5 0.40 
1 48 1.9 1.0 0.05 
1 48 1.9 1.0 0.10 
1 48 1.9 1.0 0.20 
1 48 1.9 1.0 0.40 
1 48 1.9 2.0 0.05 
1 48 1.9 2.0 0.10 
1 48 1.9 2.0 0.20 
1 48 1.9 2.0 0.40 
1 48 1.9 3.0 0.05 
1 48 1.9 3.0 0.10 
1 48 1.9 3.0 0.20 
1 48 1.9 3.0 0.40 
1 48 2.0 0.5 0.05 
1 48 2.0 0.5 0.10 
1 48 2.0 0.5 0.20 
1 48 2.0 0.5 0.40 
1 48 2.0 1.0 0.05 
1 48 2.0 1.0 0.10 
1 48 2.0 1.0 0.20 
1 48 2.0 1.0 0.40 
1 48 2.0 2.0 0.05 
1 48 2.0 2.0 0.10 
1 48 2.0 2.0 0.20 
1 48 2.0 2.0 0.40 
1 48 2.0 3.0 0.05 
1 48 2.0 3.0 0.10 
1 48 2.0 3.0 0.20 
1 48 2.0 3.0 0.40 
1 48 2.2 0.5 0.05 
1 48 2.2 0.5 0.10 
1 48 2.2 0.5 0.20 
1 48 2.2 0.5 0.40 
1 48 2.2 1.0 0.05 
1 48 2.2 1.0 0.10 
1 48 2.2 1.0 0.20 
1 48 2.2 1.0 0.40 
1 48 2.2 2.0 0.05 
1 48 2.2 2.0 0.10 
1 48 2.2 2.0 0.20 
1 48 2.2 2.0 0.40 
1 48 2.2 3.0 0.05 
1 48 2.2 3.0 0.10 
1 48 2.2 3.0 0.20 
1 48 2.2 3.0 0.40 
1 48 2.4 0.5 0.05 
1 48 2.4 0.5 0.10 
1 48 2.4 0.5 0.20 
1 48 2.4 0.5 0.40 
1 48 2.4 1.0 0.05 
1 48 2.4 1.0 0.10 
1 48 2.4 1.0 0.20 
1 48 2.4 1.0 0.40 
1 48 2.4 2.0 0.05 
1 48 2.4 2.0 0.10 
1 48 2.4 2.0 0.20 
1 48 2.4 2.0 0.40 
1 48 2.4 3.0 0.05 
1 48 2.4 3.0 0.10 
1 48 2.4 3.0 0.20 
1 48 2.4 3.0 0.40 
1 48 2.6 0.5 0.05 
1 48 2.6 0.5 0.10 
1 48 2.6 0.5 0.20 
1 48 2.6 0.5 0.40 
1 48 2.6 1.0 0.05 
1 48 2.6 1.0 0.10 
1 48 2.6 1.0 0.20 
1 48 2.6 1.0 0.40 
1 48 2.6 2.0 0.05 
1 48 2.6 2.0 0.10 
1 48 2.6 2.0 0.20 
1 48 2.6 2.0 0.40 
1 48 2.6 3.0 0.05 
1 48 2.6 3.0 0.10 
1 48 2.6 3.0 0.20 
1 48 2.6 3.0 0.40 
1 48 2.8 0.5 0.05 
1 48 2.8 0.5 0.10 
1 48 2.8 0.5 0.20 
1 48 2.8 0.5 0.40 
1 48 2.8 1.0 0.05 
1 48 2.8 1.0 0.10 
1 48 2.8 1.0 0.20 
1 48 2.8 1.0 0.40 
1 48 2.8 2.0 0.05 
1 48 2.8 2.0 0.10 
1 48 2.8 2.0 0.20 
1 48 2.8 2.0 0.40 
1 48 2.8 3.0 0.05 
1 48 2.8 3.0 0.10 
1 48 2.8 3.0 0.20 
1 48 2.8 3.0 0.40 
1 48 3.0 0.5 0.05 
1 48 3.0 0.5 0.10 
1 48 3.0 0.5 0.20 
1 48 3.0 0.5 0.40 
1 48 3.0 1.0 0.05 
1 48 3.0 1.0 0.10 
1 48 3.0 1.0 0.20 
1 48 3.0 1.0 0.40 
1 48 3.0 2.0 0.05 
1 48 3.0 2.0 0.10 
1 48 3.0 2.0 0.20 
1 48 3.0 2.0 0.40 
1 48 3.0 3.0 0.05 
1 48 3.0 3.0 0.10 
1 48 3.0 3.0 0.20 
1 48 3.0 3.0 0.40 
1 48 3.2 0.5 0.05 
1 48 3.2 0.5 0.10 
1 48 3.2 0.5 0.20 
1 48 3.2 0.5 0.40 
1 48 3.2 1.0 0.05 
1 48 3.2 1.0 0.10 
1 48 3.2 1.0 0.20 
1 48 3.2 1.0 0.40 
1 48 3.2 2.0 0.05 
1 48 3.2 2.0 0.10 
1 48 3.2 2.0 0.20 
1 48 3.2 2.0 0.40 
1 48 3.2 3.0 0.05 
1 48 3.2 3.0 0.10 
1 48 3.2 3.0 0.20 
1 48 3.2 3.0 0.40 
1 48 3.4 0.5 0.05 
1 48 3.4 0.5 0.10 
1 48 3.4 0.5 0.20 
1 48 3.4 0.5 0.40 
